"name_name","name_url","name_selection1_name"
"2001 - Wikipedia","https://www.bing.com/ck/a?!&&p=a8e6f69e235c7cf680f041f3d497fe164e05fc5d1f5d792c4329e2d675f52f76JmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTIxNA&ptn=3&fclid=cd299c9b-e451-11ec-98f6-c4ff9cc0495f&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMjAwMQ&ntb=1","https://en.wikipedia.org/wiki/2001"
"2001: A Space Odyssey (film) - Wikipedia","https://www.bing.com/ck/a?!&&p=17c2c8b09b7777b669471f68ae288b581aa51e3dd7911a0b0231c9154f445f6eJmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTI1MA&ptn=3&fclid=cd2b297a-e451-11ec-8736-676e8e41ab8e&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMjAwMTpfQV9TcGFjZV9PZHlzc2V5XyhmaWxtKQ&ntb=1","https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey_(film)"
"2001: A Space Odyssey (1968) - IMDb","https://www.bing.com/ck/a?!&&p=fb89cdcaaebd805e71d46a5cc7e1f441c0a8e4d66685ba60af290dec512a5733JmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTI5OQ&ptn=3&fclid=cd2b705c-e451-11ec-b4b2-54ba7e01f062&u=a1aHR0cHM6Ly93d3cuaW1kYi5jb20vdGl0bGUvdHQwMDYyNjIyLw&ntb=1","https://www.imdb.com/title/tt0062622"
"Historical Events in 2001 - On This Day","https://www.bing.com/ck/a?!&&p=63df7bf83281da8aa5ba2e7822574dbe41253017adffbae9773945a8a2deccbcJmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTMyMA&ptn=3&fclid=cd2b96f2-e451-11ec-b4a0-38b3d156eed8&u=a1aHR0cHM6Ly93d3cub250aGlzZGF5LmNvbS9ldmVudHMvZGF0ZS8yMDAx&ntb=1","https://www.onthisday.com/events/date/2001"
"2001: A Space Odyssey - Rotten Tomatoes","https://www.bing.com/ck/a?!&&p=fe6a23ed0683a69179ecd3899d957731323a021e477293fbbca585ab9e8d3583JmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTM1MQ&ptn=3&fclid=cd2bace7-e451-11ec-b351-9ace5dab47cf&u=a1aHR0cHM6Ly93d3cucm90dGVudG9tYXRvZXMuY29tL20vMjAwMV9hX3NwYWNlX29keXNzZXk&ntb=1","https://www.rottentomatoes.com/m/2001_a_space_odyssey"
"2001: A Space Odyssey (1968) - Plot Summary - IMDb","https://www.bing.com/ck/a?!&&p=f13317c59b9014fa4f91e557957b4bb5e01448eeab2d5f439812a8c79b2792cbJmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTM3Mg&ptn=3&fclid=cd2bc65b-e451-11ec-ba1a-1447b082f1ef&u=a1aHR0cHM6Ly93d3cuaW1kYi5jb20vdGl0bGUvdHQwMDYyNjIyL3Bsb3RzdW1tYXJ5&ntb=1","https://www.imdb.com/title/tt0062622/plotsummary"
"Watch 2001: A Space Odyssey | Prime Video - amazon.com","https://www.bing.com/ck/a?!&&p=def530f06d841fc1378f40754effcdb0907b6ba556143b50d4391bb44b30ccf5JmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTM5NQ&ptn=3&fclid=cd2c2dd4-e451-11ec-bb74-08c035b6ef0d&u=a1aHR0cHM6Ly93d3cuYW1hem9uLmNvbS8yMDAxLVNwYWNlLU9keXNzZXktRG91Z2xhcy1SYWluL2RwL0IwMDBHT1VYRVM&ntb=1","https://www.amazon.com/2001-Space-Odyssey-Douglas-Rain/dp/B000GOUXES"
"What Happened in 2001 inc.- Significant Events, Prices, …","https://www.bing.com/ck/a?!&&p=89ec6a58fadcdef8b163344ee4bbf37c87998196c134daa94ec8af6bb263a1c3JmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTQyMg&ptn=3&fclid=cd2c4446-e451-11ec-adf0-dbbc30464843&u=a1aHR0cHM6Ly93d3cudGhlcGVvcGxlaGlzdG9yeS5jb20vMjAwMS5odG1s&ntb=1","https://www.thepeoplehistory.com/2001.html"
"2001 | Disney Wiki | Fandom","https://www.bing.com/ck/a?!&&p=3059938f3c399f0592fa683928e82c9b905ef76b8729d7cc05d50ccf2f726f26JmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTQ0Mw&ptn=3&fclid=cd2c5be4-e451-11ec-b0f0-9b4e79823879&u=a1aHR0cHM6Ly9kaXNuZXkuZmFuZG9tLmNvbS93aWtpLzIwMDE&ntb=1","https://disney.fandom.com/wiki/2001"
"Hours and Location - Salt Lake County | SLCo","https://www.bing.com/ck/a?!&&p=82ce5a745e2606943ddee7e3a52fa64a0e28c7f7a7a77078e517edcf1e612bedJmltdHM9MTY1NDM4MDA1MyZpZ3VpZD1iMmUwOTE3MC0wYWUyLTRlZWItOGE0OC00OWQzYjJjMDBiZTMmaW5zaWQ9NTQ2OA&ptn=3&fclid=cd2c7062-e451-11ec-890e-bf752b0d22ea&u=a1aHR0cHM6Ly9zbGNvLm9yZy9nb3Zlcm5tZW50LWNlbnRlci1ob3Vycy1hbmQtbG9jYXRpb24v&ntb=1","https://slco.org/government-center-hours-and-location"
